artist_id,name,sort_name,type,country,begin_area,begin_date,end_date,genres,tags,release_groups,timestamp
0bf5a91a-d085-4910-809a-707d8f037d5d,Lost Reflection,Lost Reflection,Person,,N/A,,,"electronic, psychedelic, trance","electronic, psy-trance, psychedelic, psychedelic trance, trance",The Untrodden Forest,2025-04-10T07:36:48.673608
90775e19-5328-493c-ac3e-58f49473c23e,Future Echo,Future Echo,Person,,N/A,,,,,"Audio Phreaks Vol. 33, Another Dimension",2025-04-10T07:36:50.742271
c0ddd3e0-b97e-4b01-9c0f-beaab6abd74a,Emforay,Emforay,,,N/A,,,,,Of the Remixed,2025-04-10T07:36:54.288488
6666730a-a8dc-4764-be18-184dfcf8622e,Mike Joseph,"Joseph, Mike",Person,,N/A,,,,,Sum Nice Reggae,2025-04-10T07:36:56.417820
3256e097-e970-42eb-a57c-e16a9088436e,Night Prowler,"Prowler, Night",Person,,N/A,,,,,The Night Prowler,2025-04-10T07:36:58.489853
aa411513-6e4e-4355-a217-bcc3e1de32ed,Leonardo,Leonardo,,,N/A,,,,,"Synthesizer Hits, Volume 4",2025-04-10T07:36:57.579096
15cac5f5-0bf6-434c-aa39-33ced86cbf8c,Technickel Pony,Technickel Pony,Person,,N/A,,,,,"Hope‐Humble Bundle for ACLU, Will Horse for Money",2025-04-10T07:36:59.669038
fde874ea-6c37-439e-93f5-75df78a79108,Northern Structures,Northern Structures,Group,,N/A,,,,,"Live From Somewhere, Crossing Bridges, Articulation Pressure, Service & Devotion",2025-04-10T07:37:01.711519
0d54206b-d0b9-40dc-8807-5bd35850f7c8,V čechách děti Boha znají,V čechách děti Boha znají,Group,CZ,N/A,,,,,V čechách děti Boha znají,2025-04-10T07:37:03.740666
81b29a7f-8a93-4f2c-a6db-9ee103a104b2,Kingsheharyarmirza,Kingsheharyarmirza,Person,PK,Sindh,1997-08-03,,"hip hop, jazz, pop, rock","hip hop, jazz, pop, rock","Rahanja The Album, Si Di Saadi Zaat, Das Menoo, Tor Ke Saadi, Akhian, Tere Haan, The Mashup, Meri Lamborghini, Si Di Saadi Zaat (Remix), Aaja Ve Aaja",2025-04-10T07:37:05.784548
904f0c97-dc8d-454c-9d46-a312aff18086,Proff,Proff,Person,KE,N/A,,,,,Siku Nyingi,2025-04-10T07:37:07.853091
af843872-6ae2-41c4-b7ce-6eeef16b98fd,Yanfourd,Yanfourd,Person,DO,N/A,,,"latin, salsa","latin, salsa","La traición, Pirata de amor",2025-04-10T07:37:09.844189
293c2345-eff3-4529-9ac0-4bd993ae382e,MONO,MONO,Person,PE,Peru,1987-10-20,,"contemporary r&b, dance, disco, electronic, hip hop, pop, r&b, rock","alternative, contemporary r&b, cut copy, dance, depeche mode, disco, editors, electronic, english, foster the people, hip hop, hit, hurt, imagine dragons, indie, lies, mainstream, mgmt, miike snow, muse, music, passion pit, penguin prison, peru, pop, r&b, rock, single, synth, urban","High Anxiety, Dancing With the Devil, Break Me, Emotions (Tell Me), Blood Diamond, The Silence",2025-04-10T07:37:11.886555
d3f213ae-f576-470e-8415-56315fa0e0d7,Zak Williams & 1 Akord,Zak Williams & 1 Akord,Group,,N/A,2002-05,,,,"The Next Chapter, Unpredictable God, Mighty God, Jesus I'll Never Forget (Live), Jehovah Jireh",2025-04-10T07:37:13.914480
15b5bacb-ec3f-45b4-a459-9b90c1756121,Elite Geographic,Elite Geographic,,,N/A,,,,,"Elite Geographic, Elite Geographic II EP",2025-04-10T07:37:16.262462
d8c05652-53e0-49f1-a6b8-2289afed4760,Graeme Miller,"Miller, Graeme",Person,GB,Canada,1998-03-28,,"acoustic rock, alternative folk, alternative rock, contemporary folk, folk pop, folk punk, garage rock, indie folk, lo-fi","acoustic rock, alternative folk, alternative rock, contemporary folk, folk pop, folk punk, garage rock, indie folk, lo-fi","Tuskers, Dome Days X Crack, Masochism",2025-04-10T07:37:18.564004
cfb29fb9-dd72-4b07-beb5-8f8fb6e68f70,Kevin LeVar,"LeVar, Kevin",Person,,N/A,,,,,Let's Come Together (Deluxe Edition),2025-04-10T07:37:20.574026
db385c9a-3b4b-4fc5-bded-596b873f6a3d,Louisette,Louisette,Person,,N/A,,,,,"Dans un bar à Paris, Mieux, Dégage, De 5 à 7, Amour de vacances, Le Sport, Mistral Gagnant, Allô Maman",2025-04-10T07:37:22.583458
9ba71e59-457e-4d6c-9070-3a21ade16c13,yumesaki,yumesaki,Person,JP,N/A,,,,,"YUMESAKINOISEMACHINE, 膿 [remix], HATARAKUKURUMA, Tokyo True Black Metal",2025-04-10T07:37:24.703448
0dc9fa02-b2fa-45a8-bd4b-908572330f3d,Harke,Harke,Person,,N/A,,,,,"The Archives, Vol. 1, Backrooms, Emotional, Daisy, Green Grass Grows, Liminality, Backrooms (Corridor Of Mirrors Club Remix), Renditions",2025-04-10T07:37:26.540240
a7d8be36-9b25-454b-bbe9-1ca1432c8312,KITSUNE,KITSUNE,Person,,N/A,,,,,WELCOME TO MY NIGHTMARE,2025-04-10T07:37:28.366202
fee763de-530b-4e24-96a0-094adc910d5f,Josías Onoto,Josías Onoto,Person,MX,Mexico,2020-04-28,,,,"Roto Ser, Elección, Una vez vi a Dios correr, Le conté a Dios sobre ti, Amigo de Dios, Mi proveedor, Tú cuidas de mí, Yo, Los que lloran [demo], Los que lloran, me consume, Le conté a Dios sobre ti (Vals)",2025-04-10T07:37:27.233662
3afcca41-0e3e-4612-a710-43164db3fc65,Loveless,Loveless,,,N/A,,,,,"Distant Memories, Loveless EP, Riversider",2025-04-10T07:37:29.259045
84f76c4a-ade1-455a-97ad-85b7fd294e83,lifelessgarments,lifelessgarments,Person,US,N/A,,,,,"Trained To Kill, Before Endless, Endless Garments, Darthvader, Boy You Not, International, leek and thrax",2025-04-10T07:37:31.286539
8f394dd3-d6e4-4c83-b705-7a3ba34249d2,Jonathan Brandt,Jonathan Brandt,Person,,N/A,,,,,"Solstice Evening, Snowstorm I, Autumn Thunderstorm, Vernal Dawn",2025-04-10T07:37:33.099434
ac5b11cb-4a49-4d3d-bc87-9e578aaf8f8a,Techno Thriller,Techno Thriller,Person,,Fougères,1997,,,,"Calypso, Erebe, krampus, Techno Thriller, Decameron, Enfant de Sodome",2025-04-10T07:37:34.892813
3174b5b0-4079-408d-a349-82dfddfb48a8,’t Geruis,"Geruis, ’t",Person,BE,N/A,,,,,"Various Thoughts and Places, Slow Dance on Moss Beds, Bain D'Étoiles, Vast, Terre, Poussière",2025-04-10T07:37:36.981311
74846fba-86df-4cb4-af95-fe545eec32e5,Annica,Annica,Person,FI,N/A,,,,,"Badly Dreaming, Badly / Dreaming, What's Your Game",2025-04-10T07:37:38.973866
